# Conditions: NA =  10  NB =  10  Chi =  0.3
# Spinordal_1 =  0.211324865405  Spinordal_2 =  0.788675134595
# Binordal_1 =  0.92927981832 Binordal_2 = 0.07072018168
#
# tangent line: y=ax + b, a=  1.11577413975e-14 , b =  -0.00583413494415
#  1.11577413975e-14  * x +  -0.00583413494415
#
# Free Energy
# Phi 	Free Energy
0.386 	0.00440868315136
0.387 	0.00443057829493
0.388 	0.00445229496892
0.389 	0.00447383277393
0.39 	0.00449519131482
0.391 	0.00451637020075
0.392 	0.00453736904512
0.393 	0.00455818746556
0.394 	0.00457882508393
0.395 	0.00459928152625
0.396 	0.00461955642273
0.397 	0.00463964940772
0.398 	0.0046595601197
0.399 	0.00467928820126
0.4 	0.00469883329907
0.401 	0.0047181950639
0.402 	0.00473737315052
0.403 	0.00475636721778
0.404 	0.00477517692851
0.405 	0.00479380194957
0.406 	0.00481224195176
0.407 	0.00483049660987
0.408 	0.00484856560261
0.409 	0.00486644861264
0.41 	0.0048841453265
0.411 	0.00490165543466
0.412 	0.00491897863143
0.413 	0.00493611461499
0.414 	0.00495306308737
0.415 	0.00496982375442
0.416 	0.00498639632582
0.417 	0.00500278051503
0.418 	0.00501897603929
0.419 	0.00503498261962
0.42 	0.00505079998078
0.421 	0.00506642785129
0.422 	0.00508186596337
0.423 	0.00509711405296
0.424 	0.0051121718597
0.425 	0.00512703912692
0.426 	0.0051417156016
0.427 	0.0051562010344
0.428 	0.00517049517961
0.429 	0.00518459779516
0.43 	0.00519850864258
0.431 	0.00521222748705
0.432 	0.00522575409729
0.433 	0.00523908824566
0.434 	0.00525222970804
0.435 	0.00526517826392
0.436 	0.00527793369629
0.437 	0.00529049579173
0.438 	0.0053028643403
0.439 	0.00531503913561
0.44 	0.00532701997476
0.441 	0.00533880665836
0.442 	0.0053503989905
0.443 	0.00536179677874
0.444 	0.00537299983411
0.445 	0.00538400797111
0.446 	0.00539482100768
0.447 	0.0054054387652
0.448 	0.00541586106847
0.449 	0.00542608774574
0.45 	0.00543611862864
0.451 	0.00544595355223
0.452 	0.00545559235495
0.453 	0.00546503487865
0.454 	0.00547428096854
0.455 	0.0054833304732
0.456 	0.00549218324461
0.457 	0.00550083913806
0.458 	0.00550929801224
0.459 	0.00551755972916
0.46 	0.00552562415416
0.461 	0.00553349115593
0.462 	0.00554116060647
0.463 	0.0055486323811
0.464 	0.00555590635848
0.465 	0.00556298242053
0.466 	0.00556986045252
0.467 	0.00557654034296
0.468 	0.00558302198371
0.469 	0.00558930526986
0.47 	0.00559539009983
0.471 	0.00560127637526
0.472 	0.00560696400112
0.473 	0.00561245288558
0.474 	0.00561774294014
0.475 	0.00562283407949
0.476 	0.00562772622162
0.477 	0.00563241928776
0.478 	0.00563691320235
0.479 	0.00564120789312
0.48 	0.005645303291
0.481 	0.00564919933018
0.482 	0.00565289594807
0.483 	0.00565639308529
0.484 	0.00565969068572
0.485 	0.00566278869644
0.486 	0.00566568706775
0.487 	0.00566838575317
0.488 	0.00567088470944
0.489 	0.00567318389652
0.49 	0.00567528327755
0.491 	0.00567718281892
0.492 	0.00567888249019
0.493 	0.00568038226416
0.494 	0.00568168211682
0.495 	0.00568278202734
0.496 	0.00568368197814
0.497 	0.00568438195481
0.498 	0.00568488194614
0.499 	0.00568518194414
0.5 	0.00568528194401
0.501 	0.00568518194414
0.502 	0.00568488194614
0.503 	0.00568438195481
0.504 	0.00568368197814
0.505 	0.00568278202734
0.506 	0.00568168211682
0.507 	0.00568038226416
0.508 	0.00567888249019
0.509 	0.00567718281892
0.51 	0.00567528327755
0.511 	0.00567318389652
0.512 	0.00567088470944
0.513 	0.00566838575317
0.514 	0.00566568706775
0.515 	0.00566278869644
0.516 	0.00565969068572
0.517 	0.00565639308529
0.518 	0.00565289594807
0.519 	0.00564919933018
0.52 	0.005645303291
0.521 	0.00564120789312
0.522 	0.00563691320235
0.523 	0.00563241928776
0.524 	0.00562772622162
0.525 	0.00562283407949
0.526 	0.00561774294014
0.527 	0.00561245288558
0.528 	0.00560696400112
0.529 	0.00560127637526
0.53 	0.00559539009983
0.531 	0.00558930526986
0.532 	0.00558302198371
0.533 	0.00557654034296
0.534 	0.00556986045252
0.535 	0.00556298242053
0.536 	0.00555590635848
0.537 	0.0055486323811
0.538 	0.00554116060647
0.539 	0.00553349115593
0.54 	0.00552562415416
0.541 	0.00551755972916
0.542 	0.00550929801224
0.543 	0.00550083913806
0.544 	0.00549218324461
0.545 	0.0054833304732
0.546 	0.00547428096854
0.547 	0.00546503487865
0.548 	0.00545559235495
0.549 	0.00544595355223
0.55 	0.00543611862864
0.551 	0.00542608774574
0.552 	0.00541586106847
0.553 	0.0054054387652
0.554 	0.00539482100768
0.555 	0.00538400797111
0.556 	0.00537299983411
0.557 	0.00536179677874
0.558 	0.0053503989905
0.559 	0.00533880665836
0.56 	0.00532701997476
0.561 	0.00531503913561
0.562 	0.0053028643403
0.563 	0.00529049579173
0.564 	0.00527793369629
0.565 	0.00526517826392
0.566 	0.00525222970804
0.567 	0.00523908824566
0.568 	0.00522575409729
0.569 	0.00521222748705
0.57 	0.00519850864258
0.571 	0.00518459779516
0.572 	0.00517049517961
0.573 	0.0051562010344
0.574 	0.0051417156016
0.575 	0.00512703912692
0.576 	0.0051121718597
0.577 	0.00509711405296
0.578 	0.00508186596337
0.579 	0.00506642785129
0.58 	0.00505079998078
0.581 	0.00503498261962
0.582 	0.00501897603929
0.583 	0.00500278051503
0.584 	0.00498639632582
0.585 	0.00496982375442
0.586 	0.00495306308737
0.587 	0.00493611461499
0.588 	0.00491897863143
0.589 	0.00490165543466
0.59 	0.0048841453265
0.591 	0.00486644861264
0.592 	0.00484856560261
0.593 	0.00483049660987
0.594 	0.00481224195176
0.595 	0.00479380194957
0.596 	0.00477517692851
0.597 	0.00475636721778
0.598 	0.00473737315052
0.599 	0.0047181950639
0.6 	0.00469883329907
0.601 	0.00467928820126
0.602 	0.0046595601197
0.603 	0.00463964940772
0.604 	0.00461955642273
0.605 	0.00459928152625
0.606 	0.00457882508393
0.607 	0.00455818746556
0.608 	0.00453736904512
0.609 	0.00451637020075
0.61 	0.00449519131482
0.611 	0.00447383277393
0.612 	0.00445229496892
0.613 	0.00443057829493
0.614 	0.00440868315136
0.615 	0.00438660994197
0.616 	0.00436435907482
0.617 	0.00434193096237
0.618 	0.00431932602144
0.619 	0.00429654467329
0.62 	0.00427358734359
0.621 	0.00425045446248
0.622 	0.00422714646458
0.623 	0.00420366378903
0.624 	0.0041800068795
0.625 	0.0041561761842
0.626 	0.00413217215596
0.627 	0.00410799525218
0.628 	0.00408364593495
0.629 	0.00405912467098
0.63 	0.00403443193169
0.631 	0.00400956819323
0.632 	0.00398453393648
0.633 	0.00395932964712
0.634 	0.0039339558156
0.635 	0.00390841293723
0.636 	0.0038827015122
0.637 	0.00385682204555
0.638 	0.00383077504728
0.639 	0.00380456103233
0.64 	0.00377818052063
0.641 	0.00375163403713
0.642 	0.00372492211183
0.643 	0.0036980452798
0.644 	0.00367100408124
0.645 	0.00364379906149
0.646 	0.00361643077108
0.647 	0.00358889976574
0.648 	0.00356120660647
0.649 	0.00353335185953
0.65 	0.00350533609654
0.651 	0.00347715989443
0.652 	0.00344882383556
0.653 	0.00342032850769
0.654 	0.00339167450408
0.655 	0.00336286242348
0.656 	0.00333389287016
0.657 	0.00330476645402
0.658 	0.00327548379053
0.659 	0.00324604550087
0.66 	0.00321645221188
0.661 	0.00318670455618
0.662 	0.00315680317214
0.663 	0.00312674870398
0.664 	0.00309654180179
0.665 	0.00306618312154
0.666 	0.0030356733252
0.667 	0.00300501308071
0.668 	0.00297420306206
0.669 	0.00294324394935
0.67 	0.00291213642878
0.671 	0.00288088119277
0.672 	0.00284947893994
0.673 	0.00281793037522
0.674 	0.00278623620983
0.675 	0.0027543971614
0.676 	0.00272241395396
0.677 	0.00269028731804
0.678 	0.00265801799068
0.679 	0.0026256067155
0.68 	0.00259305424276
0.681 	0.0025603613294
0.682 	0.00252752873912
0.683 	0.00249455724238
0.684 	0.00246144761652
0.685 	0.00242820064576
0.686 	0.0023948171213
0.687 	0.00236129784137
0.688 	0.00232764361126
0.689 	0.0022938552434
0.69 	0.00225993355744
0.691 	0.00222587938027
0.692 	0.00219169354612
0.693 	0.00215737689657
0.694 	0.0021229302807
0.695 	0.00208835455507
0.696 	0.00205365058381
0.697 	0.00201881923873
0.698 	0.00198386139932
0.699 	0.00194877795287
0.7 	0.00191356979451
0.701 	0.00187823782729
0.702 	0.00184278296226
0.703 	0.00180720611852
0.704 	0.0017715082233
0.705 	0.00173569021208
0.706 	0.00169975302857
0.707 	0.00166369762487
0.708 	0.00162752496154
0.709 	0.0015912360076
0.71 	0.00155483174073
0.711 	0.00151831314725
0.712 	0.00148168122223
0.713 	0.00144493696963
0.714 	0.00140808140228
0.715 	0.00137111554206
0.716 	0.00133404041995
0.717 	0.00129685707608
0.718 	0.0012595665599
0.719 	0.00122216993021
0.72 	0.00118466825525
0.721 	0.00114706261285
0.722 	0.00110935409045
0.723 	0.00107154378525
0.724 	0.00103363280431
0.725 	0.000995622264581
0.726 	0.0009575132931
0.727 	0.000919307027023
0.728 	0.000881004613756
0.729 	0.000842607211057
0.73 	0.00080411598714
0.731 	0.000765532120785
0.732 	0.000726856801445
0.733 	0.000688091229364
0.734 	0.000649236615685
0.735 	0.000610294182565
0.736 	0.000571265163294
0.737 	0.000532150802416
0.738 	0.000492952355842
0.739 	0.000453671090981
0.74 	0.000414308286858
0.741 	0.000374865234244
0.742 	0.000335343235784
0.743 	0.000295743606123
0.744 	0.000256067672045
0.745 	0.000216316772603
0.746 	0.000176492259258
0.747 	0.000136595496014
0.748 	9.6627859565e-05
0.749 	5.65907394338e-05
0.75 	1.64855381191e-05
0.751 	-2.3686328756e-05
0.752 	-6.39234322942e-05
0.753 	-0.000104224330171
0.754 	-0.000144587566478
0.755 	-0.000185011671567
0.756 	-0.000225495161887
0.757 	-0.000266036539824
0.758 	-0.00030663429353
0.759 	-0.000347286896761
0.76 	-0.000387992808697
0.761 	-0.000428750473776
0.762 	-0.00046955832151
0.763 	-0.000510414766307
0.764 	-0.000551318207287
0.765 	-0.000592267028096
0.766 	-0.000633259596714
0.767 	-0.000674294265264
0.768 	-0.000715369369814
0.769 	-0.000756483230176
0.77 	-0.000797634149705
0.771 	-0.000838820415089
0.772 	-0.00088004029614
0.773 	-0.000921292045578
0.774 	-0.000962573898815
0.775 	-0.00100388407373
0.776 	-0.00104522077044
0.777 	-0.00108658217109
0.778 	-0.00112796643957
0.779 	-0.00116937172134
0.78 	-0.00121079614314
0.781 	-0.00125223781275
0.782 	-0.00129369481877
0.783 	-0.00133516523031
0.784 	-0.00137664709676
0.785 	-0.00141813844755
0.786 	-0.00145963729181
0.787 	-0.00150114161815
0.788 	-0.00154264939437
0.789 	-0.00158415856713
0.79 	-0.00162566706172
0.791 	-0.00166717278173
0.792 	-0.00170867360872
0.793 	-0.00175016740198
0.794 	-0.00179165199813
0.795 	-0.00183312521086
0.796 	-0.00187458483058
0.797 	-0.00191602862409
0.798 	-0.00195745433421
0.799 	-0.0019988596795
0.8 	-0.00204024235382
0.801 	-0.00208160002602
0.802 	-0.00212293033957
0.803 	-0.00216423091215
0.804 	-0.00220549933531
0.805 	-0.00224673317403
0.806 	-0.00228792996635
0.807 	-0.00232908722296
0.808 	-0.00237020242678
0.809 	-0.00241127303249
0.81 	-0.00245229646618
0.811 	-0.00249327012483
0.812 	-0.00253419137588
0.813 	-0.0025750575568
0.814 	-0.00261586597454
0.815 	-0.00265661390513
0.816 	-0.00269729859314
0.817 	-0.00273791725115
0.818 	-0.00277846705931
0.819 	-0.00281894516474
0.82 	-0.00285934868101
0.821 	-0.00289967468762
0.822 	-0.0029399202294
0.823 	-0.00298008231593
0.824 	-0.003020157921
0.825 	-0.00306014398194
0.826 	-0.00310003739905
0.827 	-0.00313983503494
0.828 	-0.00317953371392
0.829 	-0.0032191302213
0.83 	-0.00325862130274
0.831 	-0.00329800366353
0.832 	-0.00333727396791
0.833 	-0.00337642883836
0.834 	-0.00341546485478
0.835 	-0.00345437855381
0.836 	-0.00349316642802
0.837 	-0.00353182492509
0.838 	-0.00357035044705
0.839 	-0.00360873934937
0.84 	-0.00364698794013
0.841 	-0.00368509247919
0.842 	-0.00372304917718
0.843 	-0.00376085419469
0.844 	-0.00379850364122
0.845 	-0.00383599357428
0.846 	-0.00387331999836
0.847 	-0.00391047886388
0.848 	-0.0039474660662
0.849 	-0.00398427744447
0.85 	-0.0040209087806
0.851 	-0.00405735579803
0.852 	-0.00409361416065
0.853 	-0.00412967947153
0.854 	-0.00416554727173
0.855 	-0.00420121303902
0.856 	-0.00423667218659
0.857 	-0.00427192006167
0.858 	-0.00430695194421
0.859 	-0.00434176304543
0.86 	-0.00437634850639
0.861 	-0.00441070339647
0.862 	-0.00444482271183
0.863 	-0.00447870137387
0.864 	-0.00451233422753
0.865 	-0.00454571603969
0.866 	-0.00457884149736
0.867 	-0.00461170520599
0.868 	-0.00464430168756
0.869 	-0.00467662537872
0.87 	-0.00470867062886
0.871 	-0.0047404316981
0.872 	-0.00477190275518
0.873 	-0.00480307787539
0.874 	-0.00483395103833
0.875 	-0.00486451612564
0.876 	-0.00489476691868
0.877 	-0.00492469709609
0.878 	-0.0049543002313
0.879 	-0.00498356978997
0.88 	-0.00501249912727
0.881 	-0.00504108148521
0.882 	-0.00506930998972
0.883 	-0.00509717764775
0.884 	-0.00512467734421
0.885 	-0.00515180183883
0.886 	-0.00517854376291
0.887 	-0.0052048956159
0.888 	-0.005230849762
0.889 	-0.00525639842646
0.89 	-0.00528153369187
0.891 	-0.00530624749427
0.892 	-0.00533053161914
0.893 	-0.0053543776972
0.894 	-0.00537777720011
0.895 	-0.00540072143596
0.896 	-0.00542320154459
0.897 	-0.00544520849277
0.898 	-0.00546673306918
0.899 	-0.00548776587912
0.9 	-0.00550829733914
0.901 	-0.00552831767137
0.902 	-0.00554781689759
0.903 	-0.00556678483318
0.904 	-0.00558521108067
0.905 	-0.00560308502317
0.906 	-0.00562039581738
0.907 	-0.00563713238645
0.908 	-0.00565328341237
0.909 	-0.00566883732818
0.91 	-0.00568378230975
0.911 	-0.00569810626722
0.912 	-0.00571179683603
0.913 	-0.0057248413676
0.914 	-0.00573722691952
0.915 	-0.00574894024534
0.916 	-0.00575996778378
0.917 	-0.00577029564758
0.918 	-0.00577990961169
0.919 	-0.00578879510088
0.92 	-0.00579693717686
0.921 	-0.00580432052461
0.922 	-0.00581092943812
0.923 	-0.00581674780533
0.924 	-0.00582175909235
0.925 	-0.00582594632679
0.926 	-0.00582929208027
0.927 	-0.00583177844988
0.928 	-0.00583338703874
0.929 	-0.00583409893541
0.93 	-0.00583389469217
0.931 	-0.005832754302
0.932 	-0.00583065717432
0.933 	-0.00582758210924
0.934 	-0.00582350727027
0.935 	-0.0058184101554
0.936 	-0.00581226756641
0.937 	-0.00580505557621
0.938 	-0.00579674949415
0.939 	-0.0057873238291
0.94 	-0.00577675225006
0.941 	-0.00576500754419
0.942 	-0.00575206157195
0.943 	-0.00573788521922
0.944 	-0.00572244834596
0.945 	-0.00570571973128
0.946 	-0.00568766701446
0.947 	-0.00566825663167
0.948 	-0.00564745374781
0.949 	-0.00562522218324
0.95 	-0.00560152433459
0.951 	-0.0055763210894
0.952 	-0.00554957173372
0.953 	-0.00552123385193
0.954 	-0.0054912632182
0.955 	-0.00545961367834
0.956 	-0.00542623702126
0.957 	-0.00539108283868
0.958 	-0.00535409837182
0.959 	-0.0053152283434
0.96 	-0.00527441477342
0.961 	-0.00523159677626
0.962 	-0.00518671033721
0.963 	-0.00513968806527
0.964 	-0.00509045891932
0.965 	-0.00503894790379
0.966 	-0.00498507572959
0.967 	-0.00492875843504
0.968 	-0.00486990696088
0.969 	-0.00480842667209
0.97 	-0.00474421681798
0.971 	-0.00467716992017
0.972 	-0.00460717107617
0.973 	-0.0045340971633
0.974 	-0.00445781592457
0.975 	-0.00437818491375
0.976 	-0.00429505027146
0.977 	-0.004208245297
0.978 	-0.00411758877142
0.979 	-0.00402288297526
0.98 	-0.00392391132797
0.981 	-0.00382043555444
0.982 	-0.00371219225359
0.983 	-0.00359888870285
0.984 	-0.00348019767269
0.985 	-0.00335575094111
0.986 	-0.00322513107293
0.987 	-0.00308786084143
0.988 	-0.00294338938098
0.989 	-0.00279107370065
0.99 	-0.00263015343548
0.991 	-0.00245971542651
0.992 	-0.00227864242221
0.993 	-0.00208553585419
0.994 	-0.00187859387501
0.995 	-0.00165540659472
0.996 	-0.00141258329834
