# NA, NB = 6.0 600.0
# critical point: chi = 0.100833333333  phi = 0.909090909091
# chi	binodal_L	binodal_H	spinodal_L	spinodal_H
0.182508333333 	0.272803877822 	0.9999999 	0.46049750953 	0.991536644162
0.184020833333 	0.268420187368 	0.9999999 	0.456653210539 	0.991665593944
0.185533333333 	0.264129656747 	0.9999999 	0.452873385277 	0.991790646344
0.187045833333 	0.259929637443 	0.9999999 	0.449156388998 	0.991911976599
0.188558333333 	0.255817580072 	0.9999999 	0.445500634525 	0.992029749529
0.190070833333 	0.251791029583 	0.9999999 	0.441904589607 	0.992144120304
0.191583333333 	0.24784762075 	0.9999999 	0.438366774427 	0.992255235142
0.193095833333 	0.243985073941 	0.9999999 	0.434885759264 	0.992363231954
0.194608333333 	0.240201191137 	0.9999999 	0.431460162279 	0.992468240924
0.196120833333 	0.236493852194 	0.9999999 	0.428088647436 	0.992570385048
0.197633333333 	0.232861011316 	0.9999999 	0.424769922528 	0.992669780626
0.199145833333 	0.229300693728 	0.9999999 	0.421502737314 	0.992766537715
0.200658333333 	0.225810992542 	0.9999999 	0.418285881762 	0.992860760541
0.202170833333 	0.222390065792 	0.9999999 	0.415118184375 	0.992952547885
0.203683333333 	0.219036133634 	0.9999999 	0.411998510614 	0.993041993436
0.205195833333 	0.215747475694 	0.9999999 	0.408925761395 	0.993129186115
0.206708333333 	0.212522428562 	0.9999999 	0.405898871665 	0.993214210375
0.208220833333 	0.209359383411 	0.9999999 	0.402916809054 	0.993297146482
0.209733333333 	0.206256783743 	0.9999999 	0.399978572585 	0.993378070772
0.211245833333 	0.203213123254 	0.9999999 	0.397083191455 	0.993457055887
0.212758333333 	0.200226943797 	0.9999999 	0.394229723873 	0.993534171
0.214270833333 	0.197296833456 	0.9999999 	0.39141725595 	0.993609482018
0.215783333333 	0.19442142471 	0.9999999 	0.388644900646 	0.993683051776
0.217295833333 	0.191599392692 	0.9999999 	0.385911796765 	0.993754940211
0.218808333333 	0.188829453523 	0.9999999 	0.383217107996 	0.99382520453
0.220320833333 	0.186110362733 	0.9999999 	0.380560021998 	0.993893899367
0.221833333333 	0.183440913755 	0.9999999 	0.377939749528 	0.993961076919
0.223345833333 	0.180819936488 	0.9999999 	0.375355523603 	0.994026787089
0.224858333333 	0.178246295928 	0.9999999 	0.372806598709 	0.994091077606
0.226370833333 	0.175718890859 	0.9999999 	0.370292250035 	0.994153994144
0.227883333333 	0.173236652605 	0.9999999 	0.367811772744 	0.994215580434
0.229395833333 	0.170798543843 	0.9999999 	0.365364481279 	0.994275878361
0.230908333333 	0.168403557457 	0.9999999 	0.362949708693 	0.994334928068
0.232420833333 	0.166050715456 	0.9999999 	0.360566806011 	0.994392768038
0.233933333333 	0.163739067926 	0.9999999 	0.358215141616 	0.994449435187
0.235445833333 	0.161467692043 	0.9999999 	0.355894100665 	0.994504964937
0.236958333333 	0.15923569111 	0.9999999 	0.353603084527 	0.994559391295
0.238470833333 	0.157042193653 	0.9999999 	0.351341510238 	0.994612746921
0.239983333333 	0.154886352539 	0.9999999 	0.34910880999 	0.994665063195
0.241495833333 	0.152767344145 	0.9999999 	0.346904430632 	0.994716370279
0.243008333333 	0.15068436755 	0.9999999 	0.344727833189 	0.994766697177
0.244520833333 	0.148636643771 	0.9999999 	0.342578492412 	0.994816071787
0.246033333333 	0.146623415015 	0.9999999 	0.34045589633 	0.994864520957
0.247545833333 	0.144643943982 	0.9999999 	0.338359545834 	0.994912070533
0.249058333333 	0.142697513175 	0.9999999 	0.336288954266 	0.994958745403
0.250570833333 	0.140783424253 	0.9999999 	0.334243647027 	0.995004569545
0.252083333333 	0.138900997403 	0.9999999 	0.332223161208 	0.995049566065
0.253595833333 	0.137049570734 	0.9999999 	0.33022704522 	0.995093757238
0.255108333333 	0.135228499702 	0.9999999 	0.328254858452 	0.995137164545
0.256620833333 	0.133437156552 	0.9999999 	0.32630617093 	0.995179808709
0.258133333333 	0.131674929782 	0.9999999 	0.324380563002 	0.995221709725
0.259645833333 	0.129941223628 	0.9999999 	0.322477625019 	0.995262886897
0.261158333333 	0.12823545757 	0.9999999 	0.32059695704 	0.995303358861
0.262670833333 	0.126557065856 	0.9999999 	0.318738168543 	0.995343143619
0.264183333333 	0.12490549704 	0.9999999 	0.316900878144 	0.995382258566
0.265695833333 	0.123280213542 	0.9999999 	0.315084713334 	0.995420720511
0.267208333333 	0.121680691224 	0.9999999 	0.313289310212 	0.995458545705
0.268720833333 	0.120106418978 	0.9999999 	0.311514313244 	0.995495749863
0.270233333333 	0.118556898329 	0.9999999 	0.309759375015 	0.995532348187
0.271745833333 	0.11703164306 	0.9999999 	0.308024156002 	0.995568355383
0.273258333333 	0.115530178838 	0.9999999 	0.306308324343 	0.995603785687
0.274770833333 	0.114052042867 	0.9999999 	0.304611555627 	0.99563865288
0.276283333333 	0.11259678354 	0.9999999 	0.30293353268 	0.995672970306
0.277795833333 	0.111163960113 	0.9999999 	0.301273945365 	0.995706750889
0.279308333333 	0.109753142389 	0.9999999 	0.299632490386 	0.995740007153
0.280820833333 	0.108363910405 	0.9999999 	0.298008871095 	0.995772751232
0.282333333333 	0.106995854142 	0.9999999 	0.296402797318 	0.99580499489
0.283845833333 	0.105648573236 	0.9999999 	0.29481398517 	0.995836749531
0.285358333333 	0.104321676702 	0.9999999 	0.293242156888 	0.995868026215
0.286870833333 	0.103014782668 	0.9999999 	0.291687040666 	0.995898835672
0.288383333333 	0.101727518114 	0.9999999 	0.290148370494 	0.995929188311
0.289895833333 	0.10045951863 	0.9999999 	0.288625886004 	0.995959094233
0.291408333333 	0.0992104281652 	0.9999999 	0.28711933232 	0.995988563244
0.292920833333 	0.097979898804 	0.9999999 	0.285628459913 	0.996017604866
0.294433333333 	0.0967675905356 	0.9999999 	0.284153024459 	0.996046228343
0.295945833333 	0.0955731710382 	0.9999999 	0.282692786708 	0.996074442655
0.297458333333 	0.0943963154676 	0.9999999 	0.281247512347 	0.996102256528
0.298970833333 	0.0932367062539 	0.9999999 	0.279816971876 	0.996129678438
0.300483333333 	0.0920940329036 	0.9999999 	0.278400940481 	0.996156716627
0.301995833333 	0.0909679918094 	0.9999999 	0.27699919792 	0.996183379103
0.303508333333 	0.0898582860649 	0.9999999 	0.275611528398 	0.996209673655
0.305020833333 	0.0887646252857 	0.9999999 	0.274237720466 	0.996235607859
0.306533333333 	0.0876867254361 	0.9999999 	0.2728775669 	0.99626118908
0.308045833333 	0.0866243086615 	0.9999999 	0.271530864606 	0.996286424488
0.309558333333 	0.0855771031255 	0.9999999 	0.270197414508 	0.996311321057
0.311070833333 	0.0845448428523 	0.9999999 	0.268877021454 	0.996335885574
0.312583333333 	0.0835272675745 	0.9999999 	0.26756949412 	0.996360124648
0.314095833333 	0.0825241225847 	0.9999999 	0.266274644912 	0.996384044713
0.315608333333 	0.081535158592 	0.9999999 	0.264992289879 	0.996407652032
0.317120833333 	0.0805601315835 	0.9999999 	0.263722248621 	0.996430952708
0.318633333333 	0.0795988026889 	0.9999999 	0.262464344208 	0.996453952685
0.320145833333 	0.0786509380498 	0.9999999 	0.261218403093 	0.996476657752
0.321658333333 	0.0777163086933 	0.9999999 	0.259984255031 	0.996499073553
0.323170833333 	0.0767946904083 	0.9999999 	0.258761733002 	0.996521205588
0.324683333333 	0.0758858636267 	0.9999999 	0.257550673137 	0.996543059217
0.326195833333 	0.0749896133069 	0.9999999 	0.256350914639 	0.996564639668
0.327708333333 	0.0741057288222 	0.9999999 	0.255162299712 	0.996585952036
0.329220833333 	0.0732340038508 	0.9999999 	0.253984673495 	0.996607001293
0.330733333333 	0.0723742362702 	0.9999999 	0.252817883989 	0.996627792286
0.332245833333 	0.0715262280544 	0.9999999 	0.251661781996 	0.996648329744
0.333758333333 	0.0706897851739 	0.9999999 	0.250516221048 	0.996668618282
0.335270833333 	0.0698647174985 	0.9999999 	0.24938105735 	0.996688662404
0.336783333333 	0.0690508387032 	0.9999999 	0.248256149717 	0.996708466505
0.338295833333 	0.0682479661766 	0.9999999 	0.247141359516 	0.996728034875
0.339808333333 	0.0674559209318 	0.9999999 	0.246036550608 	0.996747371701
0.341320833333 	0.0666745275201 	0.9999999 	0.244941589289 	0.996766481075
0.342833333333 	0.0659036139467 	0.9999999 	0.24385634424 	0.99678536699
0.344345833333 	0.0651430115894 	0.9999999 	0.242780686472 	0.996804033347
0.345858333333 	0.0643925551187 	0.9999999 	0.241714489275 	0.996822483956
0.347370833333 	0.063652082421 	0.9999999 	0.240657628165 	0.99684072254
0.348883333333 	0.0629214345232 	0.9999999 	0.239609980842 	0.996858752737
0.350395833333 	0.0622004555202 	0.9999999 	0.238571427131 	0.996876578101
0.351908333333 	0.0614889925029 	0.9999999 	0.237541848949 	0.996894202106
0.353420833333 	0.0607868954903 	0.9999999 	0.236521130248 	0.996911628149
0.354933333333 	0.0600940173614 	0.9999999 	0.23550915698 	0.996928859548
0.356445833333 	0.0594102137902 	0.9999999 	0.234505817048 	0.996945899552
0.357958333333 	0.0587353431819 	0.9999999 	0.233511000268 	0.996962751333
0.359470833333 	0.0580692666111 	0.9999999 	0.232524598325 	0.996979417996
0.360983333333 	0.0574118477615 	0.9999999 	0.231546504736 	0.996995902577
0.362495833333 	0.0567629528672 	0.9999999 	0.230576614813 	0.997012208047
0.364008333333 	0.0561224506553 	0.9999999 	0.229614825619 	0.997028337312
0.365520833333 	0.0554902122907 	0.9999999 	0.228661035939 	0.997044293215
0.367033333333 	0.0548661113219 	0.9999999 	0.227715146237 	0.997060078539
0.368545833333 	0.0542500236278 	0.9999999 	0.226777058626 	0.997075696006
0.370058333333 	0.0536418273667 	0.9999999 	0.225846676835 	0.997091148283
0.371570833333 	0.0530414029263 	0.9999999 	0.224923906169 	0.997106437978
0.373083333333 	0.0524486328747 	0.9999999 	0.224008653483 	0.997121567647
0.374595833333 	0.051863401913 	0.9999999 	0.223100827149 	0.997136539791
0.376108333333 	0.0512855968289 	0.9999999 	0.222200337024 	0.997151356858
0.377620833333 	0.050715106452 	0.9999999 	0.221307094421 	0.997166021249
0.379133333333 	0.0501518216091 	0.9999999 	0.220421012077 	0.997180535312
0.380645833333 	0.0495956350822 	0.9999999 	0.21954200413 	0.997194901349
0.382158333333 	0.0490464415659 	0.9999999 	0.218669986085 	0.997209121615
0.383670833333 	0.0485041376273 	0.9999999 	0.21780487479 	0.997223198319
0.385183333333 	0.047968621666 	0.9999999 	0.216946588411 	0.997237133626
0.386695833333 	0.0474397938755 	0.9999999 	0.2160950464 	0.997250929658
0.388208333333 	0.0469175562052 	0.9999999 	0.215250169477 	0.997264588493
0.389720833333 	0.0464018123238 	0.9999999 	0.214411879599 	0.997278112169
0.391233333333 	0.0458924675833 	0.9999999 	0.21358009994 	0.997291502685
0.392745833333 	0.0453894289841 	0.9999999 	0.212754754865 	0.997304761998
0.394258333333 	0.0448926051404 	0.9999999 	0.21193576991 	0.997317892029
0.395770833333 	0.0444019062474 	0.9999999 	0.211123071754 	0.997330894662
0.397283333333 	0.0439172440483 	0.9999999 	0.210316588203 	0.997343771742
0.398795833333 	0.0434385318028 	0.9999999 	0.209516248164 	0.997356525081
0.400308333333 	0.0429656842558 	0.9999999 	0.208721981627 	0.997369156454
0.401820833333 	0.0424986176076 	0.9999999 	0.207933719642 	0.997381667605
0.403333333333 	0.0420372494838 	0.9999999 	0.207151394302 	0.997394060243
